Kabupaten/Kota;Rata-rata penduduk miskin (2019-2021);Rata-rata pengangguran (2019-2021);Rata-rata lama sekolah (2019-2021)
Bogor;1;1;0.402061856
Sukabumi;0.370558761;0.628458498;0.198453608
Cianjur;0.506301245;0.761089152;0.149484536
Bandung;0.547600972;0.419850681;0.516752577
Garut;0.565365928;0.532718489;0.241623711
Tasikmalaya;0.385135135;0.296003513;0.222293814
Ciamis;0.176662618;0.133069829;0.298646907
Kuningan;0.281733981;0.866490997;0.269652062
Cirebon;0.532796842;0.851998243;0.144329897
Majalengka;0.285226237;0.134826526;0.182345361
Sumedang;0.238536289;0.611330698;0.423002577
Indramayu;0.460142727;0.571365832;0
Subang;0.306179775;0.662274923;0.139497423
Purwakarta;0.153127847;0.819060167;0.373389175
Karawang;0.41390829;0.886253843;0.275128866
Bekasi;0.382402065;0.780851998;0.557989691
Bandung Barat;0.375493471;0.847167325;0.390141753
Pangandaran;0.054054054;0;0.30992268
Kota Bogor;0.139993927;0.912604304;0.801224227
Kota Sukabumi;0.030215609;0.816425121;0.675257732
Kota Bandung;0.199286365;0.789635485;0.884342784
Kota Cirebon;0.041527483;0.776899429;0.719072165
Kota Bekasi;0.271105375;0.747035573;1
Kota Depok;0.105526875;0.566534914;0.949742268
Kota Cimahi;0.04274218;0.949055775;0.894652062
Kota Tasikmalaya;0.165426663;0.420729029;0.590528351
Kota Banjar;0;0.269213878;0.463595361
